SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SEX_CODE_CD,RACE_CODE_CD,WEAPON_I,DRUG_I,AGE_GROUP,AGE_TO,STOP_ORDER_NO,PAROLEE_I,LATEST_DATE,LATEST_DIST,MAJORITY_DIST,DLST,LATEST_DIST_RES,WEAPONS_ARR_CNT,LATEST_WEAPON_ARR_DATE,NARCOTICS_ARR_CNT,LATEST_NARCOTIC_ARR_DATE,IDOC_RES_CITY,IDOC_RES_STATE_CODE,IDOC_RES_ZIP_CODE,IDOC_CPD_DIST,CPD_ARREST_I,DOMESTIC_ARR_CNT,LATEST_DOMESTIC_ARR_DATE,AGE_CURR,SSL_LAST_PTV_DATE,TRAP_STATUS,RAW_SSL_SCORE,HEAT_SCORE,RAW_HEAT_SCORE,STATUS_I,PRE_RAW_HEAT_SCORE,TRAP_FLAGS,SSL_FLAGS,LATITUDE,LONGITUDE,CENSUS_TRACT,COMMUNITY_AREA,LOCATION,Community Areas,Zip Codes,Boundaries - ZIP Codes,Census Tracts,Wards
500,less than 20,0,1,0,1,20,-4,0,M,BLK,N,Y,less than 20,less than 20,,,2016,11,15,,11,,,4,2016,,,,,Y,,,less than 20,,,0.13983,500,0.13983,Y,13983,,15,41.8679361,-87.72274886,17031843000,NORTH LAWNDALE,"(41.867936, -87.722749)",30,21572,30,98,14
500,20-30,3,2,0,1,1,-1.4,0,M,BLK,N,N,20-30,20-30,,,2016,3,3,,3,,,,,,,,,Y,,,20-30,2016,,0.13194,500,0.13194,Y,13194,,3,41.76214245,-87.6103447,17031690900,GREATER GRAND CROSSING,"(41.762142, -87.610345)",67,21546,61,515,32
500,less than 20,1,1,1,1,24,-1.1,0,M,BLK,N,Y,less than 20,less than 20,,,2016,15,15,,15,,,9,2016,,,,,Y,,,less than 20,2012,,0.15387,500,0.15387,Y,15387,,15,41.87675844,-87.74458324,17031252202,AUSTIN,"(41.876758, -87.744583)",26,22216,32,69,23
500,less than 20,2,2,5,1,2,2.6,0,M,BLK,N,Y,less than 20,less than 20,,,2016,11,11,,12,,,2,2015,,,,,Y,,,less than 20,2016,,0.14807,500,0.14807,Y,14807,,11,41.87149641,-87.69848966,17031271800,EAST GARFIELD PARK,"(41.871496, -87.69849)",28,21184,28,714,23
500,less than 20,1,0,5,1,2,1.7,2,M,BLK,Y,Y,less than 20,less than 20,,,2016,11,11,,10,2,2016,2,2014,,,,,Y,,,less than 20,2016,,0.13932,500,0.13932,Y,13932,,11,41.87149641,-87.69848966,17031271800,EAST GARFIELD PARK,"(41.871496, -87.69849)",28,21184,28,714,23
500,less than 20,0,0,3,1,0,-2.4,2,M,BLK,Y,N,less than 20,less than 20,,,2016,18,3,IL,22,2,2016,,,,,,,Y,,,less than 20,,,0.13046,500,0.13046,Y,13046,,,41.89190353,-87.60995806,17031081403,NEAR NORTH SIDE,"(41.891904, -87.609958)",37,21182,6,534,36
500,less than 20,4,4,1,1,0,-1,0,M,BLK,N,Y,less than 20,less than 20,,,2013,7,6,,6,,,1,2011,,,,,Y,,,less than 20,2015,,0.12853,500,0.12853,Y,12853,,,41.76817215,-87.669632,17031671500,WEST ENGLEWOOD,"(41.768172, -87.669632)",65,22257,23,283,31
500,less than 20,0,2,6,1,1,1.2,1,M,BLK,Y,Y,less than 20,less than 20,,,2016,11,10,IL,10,1,2015,2,2016,,,,,Y,2,2015,less than 20,,,0.13914,500,0.13914,Y,13914,,,41.87102973,-87.72281415,17031260900,WEST GARFIELD PARK,"(41.87103, -87.722814)",27,21572,30,702,14
500,less than 20,0,0,9,1,0,-0.5,0,M,WWH,N,N,less than 20,less than 20,,,2015,8,8,,8,,,,,,,,,Y,,,less than 20,,,0.13902,500,0.13902,Y,13902,,,41.77728716,-87.69334058,17031660600,CHICAGO LAWN,"(41.777287, -87.693341)",64,21867,58,319,31
500,less than 20,0,0,5,1,1,-1.1,2,M,BLK,Y,N,less than 20,less than 20,,,2015,3,3,,4,1,2013,,,,,,,Y,,,less than 20,,,0.13626,500,0.13626,Y,13626,,,41.76219787,-87.59031162,17031430400,SOUTH SHORE,"(41.762198, -87.590312)",39,21546,61,451,35
500,less than 20,1,2,4,1,0,2.5,0,M,BLK,Y,N,less than 20,less than 20,,,2016,20,7,,20,1,2016,,,,,,,Y,,,less than 20,2014,,0.13549,500,0.13549,Y,13549,,,41.98023538,-87.65160535,17031030706,EDGEWATER,"(41.980235, -87.651605)",76,22616,15,93,16
500,less than 20,0,0,8,1,3,1.2,3,M,WWH,Y,Y,less than 20,less than 20,,,2016,24,24,IL,17,1,2015,1,2015,,,,,Y,2,2015,less than 20,,,0.12747,500,0.12747,Y,12747,,,42.00848803,-87.68591186,17031020400,WEST RIDGE,"(42.008488, -87.685912)",20,22528,12,268,27
500,20-30,3,4,2,1,3,-0.7,1,M,BLK,Y,N,20-30,20-30,,,2016,3,3,,3,1,2016,,,,,,,Y,,,20-30,2016,3,0.13488,500,0.13488,Y,13488,,3,41.76925871,-87.62020842,17031690400,GREATER GRAND CROSSING,"(41.769259, -87.620208)",67,22260,60,514,32
500,less than 20,1,1,6,1,4,-3.4,1,M,BLK,Y,Y,less than 20,less than 20,,,2015,17,24,,24,1,2014,2,2015,,,,,Y,,,less than 20,2015,,0.13735,500,0.13735,Y,13735,,24,41.96464719,-87.72589087,17031140601,ALBANY PARK,"(41.964647, -87.725891)",14,21849,20,117,12
500,less than 20,2,2,1,1,9,1.2,0,M,BLK,N,Y,less than 20,less than 20,,,2016,11,11,,4,,,2,2015,,,,,Y,,,less than 20,2016,,0.15474,500,0.15474,Y,15474,,11,41.87161905,-87.70555241,17031837300,EAST GARFIELD PARK,"(41.871619, -87.705552)",28,21184,28,36,14
500,less than 20,1,2,2,1,5,-0.1,0,M,BLK,N,Y,less than 20,less than 20,,,2016,7,7,,7,,,4,2016,,,,,Y,,,less than 20,2016,,0.12979,500,0.12979,Y,12979,,,41.78306862,-87.66673146,17031670700,WEST ENGLEWOOD,"(41.783069, -87.666731)",65,22257,23,276,3
500,20-30,0,5,1,0,1,0.7,1,F,BLK,N,Y,20-30,20-30,,,2016,5,7,,5,,,2,2012,,,,,Y,1,2016,20-30,,,0.13246,500,0.13246,Y,13246,,,41.69976278,-87.62805359,17031491000,ROSELAND,"(41.699763, -87.628054)",45,21861,19,524,22
500,less than 20,0,2,3,1,0,2.7,1,M,WHI,Y,N,less than 20,less than 20,,,2016,18,9,,9,1,2011,,,,,,,Y,,,less than 20,,,0.12709,500,0.12709,Y,12709,,9,41.92215308,-87.62940598,17031071400,LINCOLN PARK,"(41.922153, -87.629406)",68,21190,16,207,34
500,20-30,3,4,1,1,0,0.8,1,M,BLK,Y,Y,20-30,20-30,,,2015,24,24,IL,11,3,2015,2,2010,CHICAGO,IL,60624,,Y,,,20-30,2014,3,0.14069,500,0.14069,Y,14069,,24,42.00902,-87.67272572,17031010702,ROGERS PARK,"(42.00902, -87.672726)",10,21853,9,49,5
500,20-30,4,4,1,1,1,-0.3,0,M,BLK,N,N,20-30,20-30,,,2014,15,15,IL,15,,,,,,,,,Y,,,20-30,2016,,0.15201,500,0.15201,Y,15201,,,41.89140651,-87.75180372,17031251600,AUSTIN,"(41.891407, -87.751804)",26,22216,32,694,45
500,less than 20,2,2,4,1,1,-0.3,2,M,BLK,Y,Y,less than 20,less than 20,,,2016,7,7,,7,2,2013,1,2015,,,,,Y,,,less than 20,2016,,0.13284,500,0.13284,Y,13284,,,41.76119832,-87.67112813,17031672000,WEST ENGLEWOOD,"(41.761198, -87.671128)",65,22257,23,433,31
500,less than 20,2,2,6,1,0,-1.1,1,M,BLK,Y,N,less than 20,less than 20,,,2016,3,3,,2,1,2012,,,,,,,Y,1,2015,less than 20,2016,,0.14435,500,0.14435,Y,14435,,3,41.76219787,-87.59031162,17031430400,SOUTH SHORE,"(41.762198, -87.590312)",39,21546,61,451,35
500,less than 20,0,1,2,1,8,1.5,0,M,BLK,N,Y,less than 20,less than 20,299991966,,2016,15,15,,15,,,1,2015,,,,,Y,,,less than 20,,,0.13556,500,0.13556,Y,13556,,,41.88414362,-87.74788851,17031251800,AUSTIN,"(41.884144, -87.747889)",26,22216,32,696,23
500,less than 20,0,0,8,1,0,-1.1,1,M,BLK,Y,N,less than 20,less than 20,,,2015,7,7,,7,1,2013,,,,,,,Y,,,less than 20,,,0.13418,500,0.13418,Y,13418,,7,41.76132565,-87.66128024,17031671900,WEST ENGLEWOOD,"(41.761326, -87.66128)",65,22257,23,432,31
500,less than 20,1,1,3,1,4,0.7,0,M,BLK,Y,Y,less than 20,less than 20,,,2016,7,7,IL,7,1,2011,2,2016,CHICAGO,IL,60636,,Y,,,20-30,2014,3,0.12672,500,0.12672,Y,12672,7,,41.76140103,-87.65644808,17031671800,WEST ENGLEWOOD,"(41.761401, -87.656448)",65,22257,23,408,31
500,less than 20,2,2,1,1,5,-1.7,0,M,BLK,N,Y,less than 20,less than 20,,Y,2014,15,15,,15,,,1,2012,CHICAGO,IL,60644,,Y,,,less than 20,2016,,0.13186,500,0.13186,Y,13186,,,41.89140651,-87.75180372,17031251600,AUSTIN,"(41.891407, -87.751804)",26,22216,32,694,45
500,less than 20,1,1,5,1,2,-0.5,2,M,BLK,Y,Y,less than 20,less than 20,,,2016,2,2,,11,2,2016,1,2015,,,,,Y,,,less than 20,2013,3,0.13999,500,0.13999,Y,13999,,2,41.82016644,-87.62149887,17031835900,GRAND BOULEVARD,"(41.820166, -87.621499)",4,4301,36,163,9
500,20-30,2,2,3,1,0,-0.5,2,M,BLK,Y,N,20-30,20-30,,,2015,3,3,,3,2,2013,,,CHICAGO,IL,60608,,Y,,,20-30,2016,3,0.12862,500,0.12862,Y,12862,,,41.77669145,-87.61069325,17031420700,WOODLAWN,"(41.776691, -87.610693)",9,22260,60,332,4
500,less than 20,0,1,5,1,1,-0.2,2,M,BLK,Y,N,less than 20,less than 20,,,2016,4,4,,4,1,2015,,,,,,,Y,,,less than 20,,,0.13379,500,0.13379,Y,13379,,4,41.74583511,-87.59178805,17031834300,AVALON PARK,"(41.745835, -87.591788)",41,21546,61,133,35
500,less than 20,2,2,2,1,2,-1.3,1,M,BLK,Y,Y,less than 20,less than 20,,,2015,19,24,IL,24,1,2013,1,2015,,,,,Y,,,20-30,2015,3,0.13549,500,0.13549,Y,13549,,,41.96544662,-87.66319544,17031031700,UPTOWN,"(41.965447, -87.663195)",31,22616,15,611,39
500,20-30,1,0,3,1,8,0.2,3,M,BLK,Y,Y,20-30,20-30,,,2016,15,15,,15,2,2015,10,2015,CICERO,IL,60804,,Y,,,20-30,2016,3,0.13085,500,0.13085,Y,13085,,,41.88414362,-87.74788851,17031251800,AUSTIN,"(41.884144, -87.747889)",26,22216,32,696,23
500,less than 20,2,2,0,1,1,-0.1,0,M,BLK,N,N,less than 20,less than 20,,,2014,22,22,,5,,,,,,,,,Y,,,less than 20,2014,,0.1287,500,0.1287,Y,12870,,,41.70308167,-87.65007927,17031730700,WASHINGTON HEIGHTS,"(41.703082, -87.650079)",72,22212,13,595,22
500,less than 20,0,0,1,1,19,1.5,0,M,BLK,N,Y,less than 20,less than 20,,,2016,15,15,IL,10,,,3,2016,,,,,Y,1,2015,less than 20,,,0.14879,500,0.14879,Y,14879,,15,41.88414362,-87.74788851,17031251800,AUSTIN,"(41.884144, -87.747889)",26,22216,32,696,23
500,less than 20,2,2,0,1,19,2.5,0,M,BLK,N,Y,less than 20,less than 20,,,2016,11,15,IL,15,,,8,2016,,,,,Y,,,less than 20,2016,,0.1734,500,0.1734,Y,17340,,15,41.8990614,-87.72131534,17031231200,HUMBOLDT PARK,"(41.899061, -87.721315)",24,4299,5,456,46
500,20-30,0,7,0,1,1,0.5,0,M,BLK,N,Y,20-30,20-30,,,2015,11,11,,11,,,2,2013,CHICAGO,IL,60608,,Y,1,2014,20-30,,,0.13397,500,0.13397,Y,13397,,,41.87832338,-87.69867388,17031837000,EAST GARFIELD PARK,"(41.878323, -87.698674)",28,21184,28,51,46
